,name,ownership,ope6_id,state,size,accreditor,retention,branches,online_only,religious_affil,under_investigation,most_common_degree,highest_degree,faculty_salary,instructional_expenditure_per_fte,tuition_revenue_per_fte,locale,carnegie_basic,carnegie_undergrad,carnegie_size_setting,part_time_share,age_entry,percent_dependent,first_generation,percent_black,avg_dependent_income,avg_family_income,median_family_income,ind_low_income,dep_low_income,loan_principal,federal_loan_rate,students_with_any_loans,median_debt_indep_students,pell_grant_debt,percent_pell_grant,fafsa_sent,7_yr_repayment_completion,5_year_declining_balance,relig_y_n,accred_y_n,retention_listed_y_n,fac_salary_listed_y_n,7_yr_repayment_completion_y_n,5_year_declining_balance_y_n,for_profit
0,Alaska Bible College,2,8843,AK,27,Association for Bibical Higher Educaiton,0.3333,1,0,88.0,0,3,3,2201,9585,8132,32.0,24.0,10.0,8.0,0.1481,21,0.4752097421316015,0.4651198897441582,0.0,48748.06435154707,49891,38600.0,0.7744003783400789,0.4769168004873773,11443,0.2857,0.7794312090373222,12497.901421800947,12672.740203761756,0.7237045962785821,0.4636515619105719,0.6995418344619443,0.4968500596553146,1,1,1,1,0,0,0
1,Alaska Christian College,2,41386,AK,68,Association for Bibical Higher Educaiton,0.4737,1,0,37.0,0,1,2,5554,18174,12989,41.0,13.0,4.0,1.0,0.0735,23,0.31034482760000004,0.7560975609999999,0.0,11126.0,4140,0.0,0.7744003783400789,0.4769168004873773,5593,0.6792,0.747126437,5593.0,12672.740203761756,0.7237045962785821,0.4636515619105719,0.6995418344619443,0.4968500596553146,1,1,1,1,0,0,0
2,Ilisagvik College,1,34613,AK,109,Northwest Commission on Colleges and Universities,0.8095,1,0,-2.0,0,1,2,6054,38265,3587,41.0,33.0,1.0,1.0,0.6239,25,0.2857142857,0.4054054054,0.0183,14545.0,13233,8255.0,0.7744003783400789,0.4769168004873773,11443,0.0,0.7794312090373222,12497.901421800947,12672.740203761756,0.7237045962785821,0.4636515619105719,0.6995418344619443,0.4968500596553146,0,1,1,1,0,0,0
3,Charter College-Anchorage,3,25769,AK,3256,Accrediting Council for Independent Colleges and Schools,0.7037229823917844,1,0,-2.0,0,1,3,4004,2617,8755,11.0,23.0,11.0,12.0,0.0,28,0.2546091445,0.5474525475,0.0599,43358.0,26511,17591.0,0.7707148156999999,0.48587979719999996,10047,0.7503,0.89509587,11926.0,10500.0,0.849557522,0.3102876106,0.7258064516,0.4179487179,0,1,0,1,1,1,1
4,Alaska Career College,3,25410,AK,479,Accrediting Commission of Career Schools and Colleges,0.7941,1,0,-2.0,0,1,2,3861,4178,11905,11.0,13.0,4.0,1.0,0.0,27,0.2711864407,0.4618834081,0.096,50373.0,27548,17990.0,0.7871198569,0.40384615380000005,7832,0.7859999999999999,0.814863103,8226.0,8400.5,0.792698827,0.2542372881,0.5564304461999999,0.4625199362,0,1,1,1,1,1,1
5,University of Alaska Fairbanks,1,1063,AK,5536,Northwest Commission on Colleges and Universities,0.7756,1,0,-2.0,0,3,4,9175,16892,6491,23.0,16.0,9.0,13.0,0.3887,25,0.46014319810000004,0.4173913043,0.021,69444.0,46691,32147.0,0.6463306808,0.2925311203,10283,0.255,0.6420047729999999,12500.0,13169.0,0.676372315,0.33794749399999996,0.8733509235,0.5793010753,0,1,1,1,1,1,0
6,University of Alaska Southeast,1,1065,AK,1428,Northwest Commission on Colleges and Universities,0.7167,1,0,-2.0,0,1,4,7863,12814,6117,33.0,19.0,5.0,9.0,0.5112,26,0.4041811847,0.3784860558,0.0119,52555.0,38821,29162.0,0.6111111111,0.3793103448,9804,0.1996,0.660278746,12500.0,12425.0,0.721254355,0.4181184669,0.8240740741,0.5880077369,0,1,1,1,1,1,0
7,Alaska Pacific University,2,1061,AK,275,Northwest Commission on Colleges and Universities,0.7742,1,0,71.0,0,3,4,5804,11261,13383,11.0,20.0,9.0,7.0,0.3745,26,0.4552845528,0.4651198897441582,0.0291,90367.0,61261,48957.0,0.5373134328,0.21428571429999999,18750,0.5297,0.845528455,18375.0,19337.0,0.577235772,0.4715447154,0.6995418344619443,0.6578947368,1,1,1,1,0,1,0
8,AVTEC-Alaska's Institute of Technology,1,31603,AK,889,Council on Occupational Education,1.0,1,0,-2.0,0,1,2,6530,21957,4340,43.0,10.0,1.0,1.0,0.6817,26,0.3694581281,0.47126436780000003,0.0112,52408.0,33363,22973.0,0.7578125,0.2933333333,5500,0.0664,0.438423645,9500.0,6417.0,0.798029557,0.2955665025,0.6190476189999999,0.6506849315,0,1,1,1,1,1,0
9,University of Alaska Anchorage,1,11462,AK,12865,Northwest Commission on Colleges and Universities,0.7164,1,0,-2.0,0,3,4,8640,10594,5843,11.0,18.0,5.0,15.0,0.4539,25,0.5090602613,0.418586984,0.0358,61337.0,44911,30254.0,0.6493562232,0.3654801325,10261,0.2647,0.593763169,13122.0,12500.0,0.682890856,0.3021491783,0.8986013986,0.6489124372999999,0,1,1,1,1,1,0
10,Fortis College-Foley,3,33614,AL,104,Accrediting Bureau of Health Education Schools,0.5263,2,0,-2.0,0,1,1,6326,2584,8630,31.0,-2.0,-2.0,-2.0,0.1635,28,0.2208029197,0.5319634703,0.2115,22697.0,15857,12493.0,0.8922716628,0.7520661156999999,9500,0.75,0.839416058,9500.5,9500.0,0.9543795620000001,0.35583941609999997,0.4230769231,0.2879177378,0,1,1,0,1,1,1
12,Alabama College of Osteopathic Medicine,2,42267,AL,2587,American Osteopathic Association,0.7037229823917844,1,0,-2.0,0,4,0,7698,42259,51452,41.0,-2.0,-2.0,-2.0,0.2329148111819521,25,0.4752097421316015,0.4651198897441582,0.18488612876935612,48748.06435154707,37370,27203.44842007435,0.7744003783400789,0.4769168004873773,11443,0.5183137293405335,0.7794312090373222,12497.901421800947,12672.740203761756,0.7237045962785821,0.4636515619105719,0.6995418344619443,0.4968500596553146,0,1,0,1,0,0,0
13,The Salon Professional Academy-Huntsville,3,42110,AL,51,National Accrediting Commission of Cosmetology Arts and Sciences,0.6,1,0,-2.0,0,1,1,6326,3538,7437,12.0,-2.0,-2.0,-2.0,0.0,24,0.45679012350000003,0.4651198897441582,0.1569,48896.0,29230,13951.0,0.7744003783400789,0.4769168004873773,9833,0.7534,0.7794312090373222,16500.0,12672.740203761756,0.814814815,0.4814814815,0.6995418344619443,0.4968500596553146,0,1,1,0,0,0,1
14,Troy University-Global Campus,1,1047,AL,2587,Southern Association of Colleges and Schools Commission on Colleges,0.7037229823917844,4,0,-2.0,0,0,0,6326,7545,10078,,,,,0.2329148111819521,27,0.4443469358,0.42532359770000006,0.18488612876935612,53622.0,38291,25763.0,0.7062384838,0.4032258065,14500,0.5183137293405335,0.841597192,15750.0,16375.0,0.735117742,0.5129442738000001,0.7800586509999999,0.419757712,0,1,0,0,1,1,0
16,University Academy of Hair Design,3,41975,AL,43,National Accrediting Commission of Cosmetology Arts and Sciences,0.8333,1,0,-2.0,0,1,1,6326,1796,6616,22.0,-2.0,-2.0,-2.0,0.0,24,0.45614035090000005,0.4651198897441582,0.3488,27308.0,20228,15069.0,0.7744003783400789,0.4769168004873773,9833,0.5833,0.771929825,16500.0,12672.740203761756,0.7237045962785821,0.4636515619105719,0.6995418344619443,0.4968500596553146,0,1,1,0,0,0,1
17,New Beginning College of Cosmetology,3,41872,AL,115,National Accrediting Commission of Cosmetology Arts and Sciences,0.8205,1,0,-2.0,0,1,1,6326,1961,7986,32.0,-2.0,-2.0,-2.0,0.0783,24,0.4802631579,0.5503875968999999,0.0348,35620.0,25917,17611.0,0.8227848101,0.5342465753,5500,0.8553,0.8355263159999999,9500.0,5970.0,0.815789474,0.2828947368,0.6995418344619443,0.4968500596553146,0,1,1,0,0,0,1
18,Hair Academy,3,41873,AL,12,Council on Occupational Education,1.0,1,0,-2.0,0,1,1,6326,3189,3893,12.0,-2.0,-2.0,-2.0,0.0,26,0.4752097421316015,0.4651198897441582,0.75,48748.06435154707,12108,10054.0,0.7744003783400789,0.4769168004873773,11443,0.0,0.7794312090373222,12497.901421800947,12672.740203761756,0.7237045962785821,0.4636515619105719,0.6995418344619443,0.4968500596553146,0,1,1,0,0,0,1
19,Fortis College-Montgomery,3,23410,AL,240,Accrediting Bureau of Health Education Schools,0.6364,4,0,-2.0,0,1,1,4972,3686,4500,12.0,-2.0,-2.0,-2.0,0.0,27,0.2824295011,0.5398740818,0.65,26888.0,19649,14345.0,0.8476420798000001,0.7096774194,9500,0.8459,0.876789588,10417.0,9500.0,0.897613883,0.44685466380000005,0.35815602840000005,0.24135593219999998,0,1,1,1,1,1,1
20,Brown Mackie College-Birmingham,3,40513,AL,898,Accrediting Council for Independent Colleges and Schools,0.5,33,0,-2.0,0,1,2,4345,2777,9339,21.0,14.0,11.0,6.0,0.0,28,0.2955223881,0.5100738751,0.892,36770.0,22187,14678.0,0.8584311169,0.5810670811,12004,0.7977,0.8924607729999999,12667.0,12267.0,0.8761959429999999,0.37546880979999997,0.6684782609000001,0.2861313869,0,1,1,1,1,1,1
21,Paul Mitchell the School-Huntsville,3,22850,AL,149,National Accrediting Commission of Cosmetology Arts and Sciences,0.8,1,0,-2.0,0,1,1,6326,3667,10194,21.0,-2.0,-2.0,-2.0,0.0,24,0.49079754600000003,0.4117647059,0.1409,51015.0,35978,21678.0,0.8072289156999999,0.375,9833,0.8276,0.895705522,15643.0,9833.0,0.779141104,0.4355828221,0.6995418344619443,0.4968500596553146,0,1,1,0,0,0,1
22,Strayer University-Huntsville Campus,3,1459,AL,2587,Middle States Commission on Higher Education,0.7037229823917844,80,0,-2.0,0,0,0,6326,7545,10078,,,,,0.2329148111819521,32,0.0929807929,0.5214854804,0.18488612876935612,27903.0,24028,17778.0,0.7363632844,0.6899546828,9500,0.5183137293405335,0.896555357,10403.0,9500.0,0.8504863229999999,0.506548685,0.7130509939,0.2890330239,0,1,0,0,1,1,1
23,Strayer University-Alabama,3,1459,AL,422,Middle States Commission on Higher Education,0.7037229823917844,80,0,-2.0,0,3,4,4858,2405,18009,12.0,29.0,5.0,6.0,0.91,32,0.0929807929,0.5214854804,0.7488,27903.0,24028,17778.0,0.7363632844,0.6899546828,9500,0.6785,0.896555357,10403.0,9500.0,0.8504863229999999,0.506548685,0.7130509939,0.2890330239,0,1,0,1,1,1,1
24,Selma University,2,40673,AL,472,Association for Bibical Higher Educaiton,0.3474,1,0,54.0,0,3,4,2989,6907,7596,32.0,24.0,7.0,6.0,0.25,25,0.45813953490000003,0.6174698795,0.9703,14718.0,10224,0.0,0.7744003783400789,0.4769168004873773,5050,0.8935,0.9372093020000001,5050.0,12672.740203761756,0.948837209,0.6279069767000001,0.6995418344619443,0.4968500596553146,1,1,1,1,0,0,0
